ID,Name,Age,Gender,DOB,City,Country,Income,Income_in_thousands,Marital_Status,Employment_Status,Num_Children,Education_Level,Health_Status,Height,Weight,BMI,Has_DL,Owns_Vehicle,Blood_Group,Smoker,Alcohol_Consumption,Last_Physical_Checkup,Email,Phone_Number,Allergies,Credit_Score,Life_Insurance,Health_Insurance
1,"Paul Figueroa",55,Male,1970-08-25,Paris,France,94675.74,94.68,Divorced,Employed,0,Bachelor,Good,1.78,97.35,30.73,1,1,O+,1,Occasionally,2023-07-22,paul.figueroa@outlook.com,+33577858713,Nuts,515,0,0
2,"Michelle Griffith",71,"Prefer not to say",1954-10-24,Osaka,Japan,124699.26,124.70,Married,Retired,0,Bachelor,Poor,1.55,59.96,24.96,0,0,B-,0,Often,2020-09-02,michelle.griffith@gmail.com,NULL,Nuts,683,0,0
3,"Crystal Underwood DVM",34,"Prefer not to say",1991-09-26,Shanghai,China,148257.44,148.26,Single,Unemployed,0,PhD,Good,1.80,55.97,17.27,1,NULL,AB-,0,Rarely,2020-05-09,crystal.dvm@outlook.com,+8640732540442,Nuts,688,1,1
4,"Alisha Jarvis",37,Female,1988-08-20,Berlin,Germany,57472.91,57.47,Married,Employed,5,PhD,Good,1.76,100.45,32.43,1,1,B+,1,Rarely,2020-08-16,alisha.jarvis@hotmail.com,+490940845520,Nuts,820,1,1
5,"Michael Cochran",39,Male,1986-05-25,Osaka,Japan,98351.46,98.35,Divorced,Self-employed,2,Bachelor,Poor,1.69,111.55,39.06,1,1,B+,1,Never,2020-04-22,NULL,+812594539264,Dairy,760,1,1
6,"Julie Thompson",75,Female,1950-02-14,Munich,Germany,99878.09,99.88,Married,Retired,0,PhD,Good,1.67,116.65,41.83,1,0,A-,0,Occasionally,2021-06-18,julie.thompson@hotmail.com,+492770690813,Dairy,629,1,1
7,"Debra Mccoy",47,"Prefer not to say",1978-12-29,Milan,Italy,108772.73,108.77,Widowed,Self-employed,4,Master,Excellent,1.87,70.11,20.05,0,0,AB-,0,Often,2021-12-10,debra.mccoy@outlook.com,+390064479925,Nuts,566,0,1
8,"Frank Simpson",63,Male,1962-09-08,Melbourne,Australia,104192.60,104.19,Divorced,Retired,3,PhD,Poor,1.70,91.59,31.69,1,1,O+,0,Often,2020-10-28,frank.simpson@yahoo.com,+61174001974,Shellfish,843,0,0
9,"Marisa Grant",NULL,Female,1987-10-23,Osaka,Japan,122389.14,122.39,Widowed,Employed,2,Master,Fair,1.96,98.89,25.74,1,1,AB+,0,Rarely,2021-09-23,marisa.grant@hotmail.com,+812297598079,Dairy,499,0,1
10,"Samuel Salas",NULL,NULL,1976-07-24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
